📅 Fecha,📌 Código,📝 Descripción,➖ Cantidad KG,🧾 Tipo Consumo (MP/MAT),👤 Responsable,,,,,,
2025-01-10,CAFV-001,Café Verde,12,MP,,,,,,,
2025-01-10,EMP-BOLSA,Bolsa Empaque,4,MAT,,,,,,,
2025-01-10,ETQ-CAFE,Etiqueta Café,4,MAT,,,,,,,
2025-01-20,CAFV-001,Café Verde,24,MP,Daniel,,,,,,
2025-01-20,EMP-BOLSA,Bolsa Empaque,10,MAT,Daniel,,,,,,
2025-01-20,ETQ-CAFE,Etiqueta Café,10,MAT,Daniel,,,,,,
2025-01-24,CAFV-001,Café Verde,60,MP,,,,,,,
2025-01-24,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-01-24,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-01-31,CAFV-001,Café Verde,48,MP,,,,,,,
2025-01-31,EMP-BOLSA,Bolsa Empaque,19,MAT,,,,,,,2413
2025-01-31,ETQ-CAFE,Etiqueta Café,19,MAT,,,,,,,
2025-02-12,CAFV-001,Café Verde,60,MP,,,,,,,
2025-02-12,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-02-12,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-02-28,CAFV-001,Café Verde,60,MP,,,,,,,
2025-02-28,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-02-28,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-03-05,CAFV-001,Café Verde,60,MP,,,,,,,
2025-03-05,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-03-05,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-03-14,CAFV-001,Café Verde,96,MP,,,,,,,
2025-03-14,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-03-14,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-03-20,CAFV-001,Café Verde,90,MP,,,,,,,
2025-03-20,EMP-BOLSA,Bolsa Empaque,36,MAT,,,,,,,
2025-03-20,ETQ-CAFE,Etiqueta Café,36,MAT,,,,,,,
2025-03-28,CAFV-001,Café Verde,72,MP,,,,,,,
2025-03-28,EMP-BOLSA,Bolsa Empaque,29,MAT,,,,,,,
2025-03-28,ETQ-CAFE,Etiqueta Café,29,MAT,,,,,,,
2025-04-04,CAFV-001,Café Verde,96,MP,,,,,,,
2025-04-04,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-04-04,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-04-16,CAFV-001,Café Verde,72,MP,,,,,,,
2025-04-16,EMP-BOLSA,Bolsa Empaque,29,MAT,,,,,,,
2025-04-16,ETQ-CAFE,Etiqueta Café,29,MAT,,,,,,,
2025-05-07,CAFV-001,Café Verde,36,MP,,,,,,,
2025-05-07,EMP-BOLSA,Bolsa Empaque,14,MAT,,,,,,,
2025-05-07,ETQ-CAFE,Etiqueta Café,14,MAT,,,,,,,
2025-05-09,CAFV-001,Café Verde,48,MP,,,,,,,
2025-05-09,EMP-BOLSA,Bolsa Empaque,19,MAT,,,,,,,
2025-05-09,ETQ-CAFE,Etiqueta Café,19,MAT,,,,,,,
2025-05-14,CAFV-001,Café Verde,4,MP,,,,,,,
2025-05-14,EMP-BOLSA,Bolsa Empaque,2,MAT,,,,,,,
2025-05-14,ETQ-CAFE,Etiqueta Café,2,MAT,,,,,,,
2025-05-15,CAFV-001,Café Verde,60,MP,,,,,,,
2025-05-15,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-05-15,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-05-28,CAFV-001,Café Verde,18,MP,,,,,,,
2025-05-28,EMP-BOLSA,Bolsa Empaque,7,MAT,,,,,,,
2025-05-28,ETQ-CAFE,Etiqueta Café,7,MAT,,,,,,,
2025-06-06,CAFV-001,Café Verde,49,MP,,,,,,,
2025-06-06,EMP-BOLSA,Bolsa Empaque,19,MAT,,,,,,,
2025-06-06,ETQ-CAFE,Etiqueta Café,19,MAT,,,,,,,
2025-06-16,CAFV-001,Café Verde,72,MP,,,,,,,
2025-06-16,EMP-BOLSA,Bolsa Empaque,28,MAT,,,,,,,
2025-06-16,ETQ-CAFE,Etiqueta Café,28,MAT,,,,,,,
2025-06-24,CAFV-001,Café Verde,48,MP,,,,,,,
2025-06-24,EMP-BOLSA,Bolsa Empaque,19,MP,,,,,,,
2025-06-24,ETQ-CAFE,Etiqueta Café,19,MP,,,,,,,
2025-06-26,CAFV-001,Café Verde,72,MP,,,,,,,
2025-06-26,EMP-BOLSA,Bolsa Empaque,29,MP,,,,,,,
2025-06-26,ETQ-CAFE,Etiqueta Café,29,MP,,,,,,,
2025-07-04,CAFV-001,Café Verde,60,MP,,,,,,,
2025-07-04,EMP-BOLSA,Bolsa Empaque,24,MAT,,,,,,,
2025-07-04,ETQ-CAFE,Etiqueta Café,24,MAT,,,,,,,
2025-07-14,CAFV-001,Café Verde,24,MP,,,,,,,
2025-07-14,EMP-BOLSA,Bolsa Empaque,9,MAT,,,,,,,
2025-07-14,ETQ-CAFE,Etiqueta Café,9,MAT,,,,,,,
2025-07-17,CAFV-001,Café Verde,72,MP,,,,,,,
2025-07-17,EMP-BOLSA,Bolsa Empaque,29,MAT,,,,,,,
2025-07-17,ETQ-CAFE,Etiqueta Café,29,MAT,,,,,,,
2025-07-25,CAFV-001,Café Verde,84,MP,,,,,,,
2025-07-25,EMP-BOLSA,Bolsa Empaque,33,MAT,,,,,,,
2025-07-25,ETQ-CAFE,Etiqueta Café,33,MAT,,,,,,,
2025-08-06,CAFV-001,Café Verde,84,MP,,,,,,,
2025-08-06,EMP-BOLSA,Bolsa Empaque,33,MAT,,,,,,,
2025-08-06,ETQ-CAFE,Etiqueta Café,33,MAT,,,,,,,
2025-08-14,CAFV-001,Café Verde,84,MP,,,,,,,
2025-08-14,EMP-BOLSA,Bolsa Empaque,33,MAT,,,,,,,
2025-08-14,ETQ-CAFE,Etiqueta Café,33,MAT,,,,,,,
2025-08-20,CAFV-001,Café Verde,72,MP,Daniel,,,,,,
2025-08-20,EMP-BOLSA,Bolsa Empaque,28,MAT,Daniel,,,,,,
2025-08-20,ETQ-CAFE,Etiqueta Café,28,MAT,Daniel,,,,,,
2025-08-27,CAFV-001,Café Verde,96,MP,Daniel,,,,,,
2025-08-27,EMP-BOLSA,Bolsa Empaque,36,MP,,,,,,,
2025-08-27,ETQ-CAFE,Etiqueta Café,36,MAT,,,,,,,
2025-09-04,CAFV-001,Café Verde,72,MP,,,,,,,
2025-09-04,EMP-BOLSA,Bolsa Empaque,22,MAT,,,,,,,
2025-09-04,ETQ-CAFE,Etiqueta Café,22,MAT,,,,,,,
2025-09-11,CAFV-001,Café Verde,84,MP,,,,,,,
2025-09-11,EMP-BOLSA,Bolsa Empaque,34,,,,,,,,
2025-09-11,ETQ-CAFE,Etiqueta Café,34,,,,,,,,
2025-09-17,CAFV-001,Café Verde,96,MP,,,,,,,
2025-09-17,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-09-17,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-09-25,CAFV-001,Café Verde,96,MP,,,,,,,
2025-09-25,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-09-25,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-10-06,CAFV-001,Café Verde,32,MP,,,,,,,
2025-10-06,EMP-BOLSA,Bolsa Empaque,12,MAT,,,,,,,
2025-10-06,EMP-BOLSA,Bolsa Empaque,12,MAT,,,,,,,
2025-10-16,CAFV-001,Café Verde,96,MP,,,,,,,
2025-10-16,EMP-BOLSA,Bolsa Empaque,38,MP,,,,,,,
2025-10-16,ETQ-CAFE,Etiqueta Café,38,MP,,,,,,,
2025-10-24,CAFV-001,Café Verde,84,MAT,,,,,,,
2025-10-24,EMP-BOLSA,Bolsa Empaque,33,MAT,,,,,,,
2025-10-24,ETQ-CAFE,Etiqueta Café,33,MAT,,,,,,,
2025-10-31,CAFV-001,Café Verde,96,MP,,,,,,,
2025-10-31,EMP-BOLSA,Bolsa Empaque,38,MAT,,,,,,,
2025-10-31,ETQ-CAFE,Etiqueta Café,38,MAT,,,,,,,
2025-11-07,CAFV-001,Café Verde,24,MP,,,,,,,
2025-11-07,EMP-BOLSA,Bolsa Empaque,9,MAT,,,,,,,
2025-11-07,ETQ-CAFE,Etiqueta Café,9,MAT,,,,,,,